Segment,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
S1,2012,,,,,,,,3.090522289,0.995964348,13.67376137,49.98755646,84.50860596
S1,2013,93.03481293,94.35669708,95.34978485,91.870224,81.02475739,55.04965973,15.07761478,2.10375762,0.659009695,8.931118965,41.36837387,69.85554504
S1,2014,93.17719269,93.19149017,93.5721817,93.71425629,77.02892303,43.99861908,7.321782589,0.722882926,0.757243156,0.970454156,8.026456833,59.50413513
S1,2015,86.13536835,90.51931,94.0111618,88.67088318,70.28193665,33.52307129,2.549413919,0.890510201,0.671453714,1.498455405,20.03894043,78.36726379
S1,2016,92.95980072,94.0594101,88.50752258,84.7036438,70.91014099,47.21615219,11.73239994,0.7906304,0.758539021,0.933488011,18.66748428,53.24016571
S1,2017,80.77366638,88.63393402,92.34205627,79.08839417,63.33861923,31.37242508,4.463406086,0.807979167,0.623196781,1.380248666,21.88384819,54.33175278
S1,2018,83.0861969,78.3194809,83.76486206,78.56919098,69.34612274,38.46289444,8.925916672,0.825786889,0.554591537,1.801911831,21.93696022,69.86795044
S1,2019,94.00995636,92.44409943,89.21942902,83.97857666,67.12346649,34.3151207,4.300894737,0.783097386,0.727706611,2.287281036,14.71337986,47.880867
S1,2020,90.19618988,95.10041046,92.72055054,92.54272461,80.34912872,45.82683563,5.512239456,0.81727463,0.791663349,0.978967607,9.817715645,53.81163788
S1,2021,88.14590454,94.94113159,95.5399704,91.89594269,82.87771606,47.10706711,11.53825188,2.78395772,1.474035621,12.18084717,57.83208847,86.58859253
S1,2022,93.09616852,93.24343872,93.44764709,92.541008,80.81406403,51.22024155,21.44527626,7.128718376,0.863927305,6.350046158,43.86170578,69.8939743
S1,2023,91.87818146,94.81293488,94.03393555,91.94874573,77.51442719,65.50300598,24.83673096,3.775443077,0.876355588,4.727265835,19.50506973,67.52909088
S1,2024,93.6696167,94.95599365,95.34984589,93.08207703,79.04380035,70.26125336,40.11977386,23.17540169,12.47839832,16.81242752,35.38108826,74.7678299
S1,2025,93.47421265,95.22864532,94.14128876,90.81816101,77.36582947,59.54898071,14.75215435,1.438037157,0.831649721,13.84340382,43.42799377,75.66074371
S2,2012,,,,,,,,0.997743309,0.443881273,28.77682877,95.37593842,97.11081696
S2,2013,97.85408783,99.54502869,98.13536835,98.03321838,96.33824158,89.22286224,67.73375702,21.62228012,21.88931084,77.93634796,98.25765991,98.79417419
